name,code,tongue_0,tongue_1,tongue_2,tongue_3,pulse_0,pulse_1,pulse_2,pulse_3,symptom_0,symptom_1,course_days,x4_lo,x4_hi,collapse_lo,collapse_hi,margin_corr_lo,margin_corr_hi,layers
太阳中风（桂枝汤证）,ty_zf,0.3,0.2,0.3,0.2,0.8,0.3,0.4,0.3,0.5,0.3,0.02,0.7,0.9,0.1,0.3,0.7,0.9,本：风邪袭表，营卫不和
太阳伤寒（麻黄汤证）,ty_sh,0.1,0.2,0.2,0.1,0.9,0.5,0.7,0.8,0.7,0.3,0.02,0.7,0.9,0.1,0.3,0.7,0.9,本：寒邪束表，卫阳被遏
少阳（小柴胡汤证）,sy_xch,0.5,0.3,0.5,0.3,0.5,0.7,0.6,0.7,0.6,0.4,0.03,0.5,0.7,0.2,0.4,0.6,0.8,本：邪踞少阳，枢机不利
阳明经证（白虎汤证）,ym_bh,0.8,0.7,0.7,0.8,0.5,0.9,0.9,0.9,0.8,0.3,0.01,0.8,1.0,0.1,0.3,0.8,1.0,本：阳明热盛，气分大热
太阴虚寒（理中汤证）,ty_xh,0.1,0.8,0.9,0.2,0.1,0.1,0.2,0.1,0.6,0.5,0.5,0.0,0.3,0.3,0.5,0.7,0.9,本：脾阳虚衰，寒湿内盛
少阴寒化（四逆汤证）,sy_hn,0.05,0.7,0.4,0.3,0.05,0.05,0.1,0.05,0.9,0.4,1.0,0.0,0.2,0.5,0.8,0.8,1.0,本：心肾阳衰，阴寒内盛
厥阴（乌梅丸证）,jy_wm,0.6,0.3,0.5,0.6,0.4,0.3,0.3,0.2,0.7,0.6,0.25,0.4,0.6,0.3,0.6,0.5,0.7,本：厥阴风动，寒热错杂
血瘀（桃红四物汤/血府逐瘀汤证）,xy_th,0.3,0.4,0.7,0.9,0.2,0.4,0.6,0.5,0.6,0.4,0.17,0.3,0.6,0.2,0.4,0.6,0.8,本：瘀血内阻，脉络不通
水饮（苓桂术甘汤/真武汤证）,sy_lg,0.2,0.9,0.8,0.3,0.2,0.3,0.4,0.3,0.5,0.5,0.17,0.1,0.4,0.3,0.5,0.6,0.8,本：水饮内停，气化不利
阴虚（六味地黄汤证）,yx_lw,0.6,0.1,0.3,0.6,0.3,0.8,0.2,0.2,0.5,0.5,0.25,0.6,0.8,0.1,0.3,0.7,0.9,本：肝肾阴虚，虚火上炎
肾虚清阳不升（耳鸣+脱发靶证）,kj_qys_001,0.85,0.3,0.4,0.2,0.15,0.25,0.2,0.75,0.65,0.55,0.5,0.2,0.5,0.5,0.7,0.4,0.6,本：肾精亏虚(阴阳俱亏阳为主) | 标：脾阳虚+清阳不升 | 靶：耳窍失养+发失所养
气郁痰热（围绝经期/情志病靶证）,qy_tr_002,0.2,0.8,0.6,0.7,0.3,0.7,0.4,0.5,0.6,0.7,0.5,0.6,0.8,0.5,0.7,0.4,0.6,本：肝郁化火(疏泄失常) | 标：脾虚生痰+心肾不交 | 靶：情志失调+潮热失眠
气虚血瘀痰湿（慢阻肺/心衰靶证）,qx_yt_003,0.7,0.6,0.5,0.4,0.2,0.5,0.6,0.7,0.7,0.6,1.0,0.1,0.3,0.6,0.8,0.3,0.5,本：肺气虚+心血瘀 | 标：脾阳不足+痰湿内阻 | 靶：咳喘+下肢肿+乏力
消渴（阴虚燥热证）,xk_xy_zr,0.75,0.15,0.35,0.50,0.30,0.70,0.35,0.45,0.65,0.55,0.50,0.35,0.55,0.15,0.35,0.60,0.80,本：阴虚为本，燥热为标，久病入络
溺毒（脾肾阳虚，浊毒内蕴证）,nd_zd_ny,0.15,0.65,0.80,0.25,0.15,0.25,0.20,0.15,0.85,0.65,0.70,0.10,0.30,0.40,0.60,0.50,0.70,本：脾肾阳虚，浊毒内蕴，三焦壅塞
